review_id,review_text,star_rating,date,business_name,business_category,platform,aspects,aspect_sentiments,aspect,sentiment,macro_category,clean_text,token_count,char_count,flag_reason
1712,"الموسيقى غير مناسبة للمكان وصاحبة جدا
الستاف لطيف
والاكل جيد
والحمام نضيف
والاسعار مناسبة إلى حد ما
حبيت المكان",4,قبل شهر,مقهى بوخارست بلاك,مقهى,google_maps,"[""ambiance"", ""service"", ""food"", ""cleanliness"", ""price""]","{""ambiance"": ""negative"", ""service"": ""positive"", ""food"": ""positive"", ""cleanliness"": ""positive"", ""price"": ""neutral""}",ambiance,negative,food_beverage,الموسيقى غير مناسبة للمكان وصاحبة جدا الستاف لطيف والاكل جيد والحمام نضيف والاسعار مناسبة الى حد ما حبيت المكان,19,111,4★ + negative
524,الاكل ليس كما يجب لاطعم وبارد البطاطا الحره لاتشبه البطاطا مع انه الخدمه رائعه والسعر أعلى من مطعم إيطالي اكلنا فيه قبل بيوم كان ٥ستارز خساره يغيرو الشيف,1,قبل أسبوع,أبو العز السوري,مطعم مأكولات سورية,google_maps,"[""food"", ""service"", ""price""]","{""food"": ""negative"", ""service"": ""positive"", ""price"": ""negative""}",service,positive,food_beverage,الاكل ليس كما يجب لاطعم وبارد البطاطا الحره لاتشبه البطاطا مع انه الخدمه رائعه والسعر اعلى من مطعم ايطالي اكلنا فيه قبل بيوم كان ٥ستارز خساره يغيرو الشيف,28,153,1★ + positive
5807,"اشكر الدكتوره / نهئ يس ام ياسين   دكتوره اسنان ممتازه جدا وتعامله جدددا راقي وحبوبه  من قلبه الله يوفقك يارب
وكل سنه وانتي طيبه",1,قبل سنتين,عيادة دكتورة نهى يس عبد الرحمن,عِيادة أسنان,google_maps,"[""service""]","{""service"": ""positive""}",service,positive,healthcare,اشكر الدكتوره / نهئ يس ام ياسين دكتوره اسنان ممتازه جدا وتعامله جددا راقي وحبوبه من قلبه الله يوفقك يارب وكل سنه وانتي طيبه,24,123,1★ + positive
6635,بس شوي بطين,5,2026-02-18 00:00:00,Careem,transport,play_store,"[""service""]","{""service"": ""negative""}",service,negative,transport,بس شوي بطين,3,11,5★ + negative
1340,مول عجيب مش عارف له اول من اخر تدوخ عشان تدخل و تطلع,4,قبل أسبوعين,بارك مول,مركز تسوق,google_maps,"[""ambiance""]","{""ambiance"": ""negative""}",ambiance,negative,retail,مول عجيب مش عارف له اول من اخر تدوخ عشان تدخل و تطلع,13,52,4★ + negative
4325,الاسعار غاليه جدا,4,قبل 3 سنوات,Mazzika,مقهى,google_maps,"[""price""]","{""price"": ""negative""}",price,negative,food_beverage,الاسعار غاليه جدا,3,17,4★ + negative
1263,الاكل كويس إنما زحام وعدم تنظيم,2,قبل يوم واحد,فول وحيد العظيم,مطعم للإفطار,google_maps,"[""food"", ""ambiance""]","{""food"": ""positive"", ""ambiance"": ""negative""}",food,positive,food_beverage,الاكل كويس انما زحام وعدم تنظيم,6,31,2★ + positive
1858,الاكل لذيذ العاملين يحتاج لهم اكثر رقابه في نظافة الطاولات و خدمة العميل بشكل سريع طبعاً افضل بكثير من الفرع القديم المقابل له فالزمالك .,4,قبل شهر,طبالي - الزمالك,مطعم,google_maps,"[""food"", ""cleanliness"", ""service""]","{""food"": ""positive"", ""cleanliness"": ""negative"", ""service"": ""negative""}",cleanliness,negative,food_beverage,الاكل لذيذ العاملين يحتاج لهم اكثر رقابه في نظافة الطاولات و خدمة العميل بشكل سريع طبعا افضل بكثير من الفرع القديم المقابل له فالزمالك .,25,136,4★ + negative
1858,الاكل لذيذ العاملين يحتاج لهم اكثر رقابه في نظافة الطاولات و خدمة العميل بشكل سريع طبعاً افضل بكثير من الفرع القديم المقابل له فالزمالك .,4,قبل شهر,طبالي - الزمالك,مطعم,google_maps,"[""food"", ""cleanliness"", ""service""]","{""food"": ""positive"", ""cleanliness"": ""negative"", ""service"": ""negative""}",service,negative,food_beverage,الاكل لذيذ العاملين يحتاج لهم اكثر رقابه في نظافة الطاولات و خدمة العميل بشكل سريع طبعا افضل بكثير من الفرع القديم المقابل له فالزمالك .,25,136,4★ + negative
84,"⭐ التقييم العام: 4 من 5

الإيجابيات:
•	موقع مميز جدًا على نهر النيل وفي قلب وسط البلد.
•	إطلالة الغرف المطلة على النيل جميلة وتستحق التجربة.
•	مستوى الأمان عالٍ داخل الفندق.
•	موظفو الاستقبال محترمون ومتعاونون، خاصة فريق Hilton Honors (الأستاذة فاطمة، هدير، وهاجر).
•	وجود خدمات داخل الفندق مثل بنك الأهلي المصري وسوبرماركت.
•	مكان معروف وخدمته بشكل عام جيدة.

السلبيات:
•	الأثاث قديم والمبنى واضح عليه العمر، ولا يعكس مستوى سلسلة هيلتون.
•	نظافة الغرف دون المستوى المطلوب (نقص في المستلزمات مثل المناشف، قبعة الاستحمام، وصحن الصابون).
•	جودة المناشف وشراشف السرير وبياضها أقل من المتوقع.
•	ازدحام شديد في الاستقبال وكثرة عدد النزلاء.
•	موظفو النظافة بحاجة لمزيد من الإشراف والتدريب.
•	أسعار الغرف مرتفعة مقارنة بالمستوى الفعلي.
•	أسعار الأكل داخل الفندق مرتفعة جدًا.
•	المنطقة المحيطة حيوية لكنها مزدحمة طوال اليوم، وغير مناسبة لمن يبحث عن الهدوء.

الخلاصة:
الفندق مناسب لمن يهمه الموقع الحيوي والقرب من وسط القاهرة والاستمتاع بإطلالة النيل، لكنه لا يرقى لمستوى 5 نجوم من حيث الأثاث والنظافة مقارنة بالسعر. تجربة جميلة بسبب الموقع والإطلالة، لكن القيمة مقابل السعر أقل من المتوقع",5,قبل يوم واحد,هيلتون رمسيس,فندق,google_maps,"[""ambiance"", ""service"", ""cleanliness"", ""price""]","{""ambiance"": ""neutral"", ""service"": ""neutral"", ""cleanliness"": ""negative"", ""price"": ""negative""}",cleanliness,negative,hospitality,⭐ التقييم العام: 4 من 5 الايجابيات: •	موقع مميز جدا على نهر النيل وفي قلب وسط البلد. •	اطلالة الغرف المطلة على النيل جميلة وتستحق التجربة. •	مستوى الامان عال داخل الفندق. •	موظفو الاستقبال محترمون ومتعاونون، خاصة فريق Hilton Honors (الاستاذة فاطمة، هدير، وهاجر). •	وجود خدمات داخل الفندق مثل بنك الاهلي المصري وسوبرماركت. •	مكان معروف وخدمته بشكل عام جيدة. السلبيات: •	الاثاث قديم والمبنى واضح عليه العمر، ولا يعكس مستوى سلسلة هيلتون. •	نظافة الغرف دون المستوى المطلوب (نقص في المستلزمات مثل المناشف، قبعة الاستحمام، وصحن الصابون). •	جودة المناشف وشراشف السرير وبياضها اقل من المتوقع. •	ازدحام شديد في الاستقبال وكثرة عدد النزلاء. •	موظفو النظافة بحاجة لمزيد من الاشراف والتدريب. •	اسعار الغرف مرتفعة مقارنة بالمستوى الفعلي. •	اسعار الاكل داخل الفندق مرتفعة جدا. •	المنطقة المحيطة حيوية لكنها مزدحمة طوال اليوم، وغير مناسبة لمن يبحث عن الهدوء. الخلاصة: الفندق مناسب لمن يهمه الموقع الحيوي والقرب من وسط القاهرة والاستمتاع باطلالة النيل، لكنه لا يرقى لمستوى 5 نجوم من حيث الاثاث والنظافة مقارنة بالسعر. تجربة جميلة بسبب الموقع والاطلالة، لكن القيمة مقابل السعر اقل من المتوقع,182,1074,5★ + negative
